title,year,time,age,rating
1. 쇼생크 탈출,1994,2h 22m,15,9.3
2. Daeboo,1972,2h 55m,18,9.2
3. 다크 나이트,2008,2h 32m,15,9.0
4. The Godfather Part II,1974,3h 22m,18,9.0
5. 12명의 성난 사람들,1957,1h 36m,15,9.0
6. 반지의 제왕: 왕의 귀환,2003,3h 21m,12,9.0
7. 쉰들러 리스트,1993,3h 15m,15,9.0
8. 펄프 픽션,1994,2h 34m,18,8.9
9. 반지의 제왕: 반지 원정대,2001,2h 58m,12,8.9
10. 석양의 무법자,1966,2h 41m,12,8.8
11. 포레스트 검프,1994,2h 22m,12,8.8
12. The Lord of the Rings: The Two Towers,2002,2h 59m,12,8.8
13. 파이트 클럽,1999,2h 19m,18,8.8
14. 인셉션,2010,2h 28m,12,8.8
15. 스타워즈 에피소드 5 - 제국의 역습,1980,2h 4m,All,8.7
16. 매트릭스,1999,2h 16m,12,8.7
17. 좋은 친구들,1990,2h 25m,18,8.7
18. 뻐꾸기 둥지 위로 날아간 새,1975,2h 13m,18,8.7
19. 인터스텔라,2014,2h 49m,12,8.7
20. 세븐,1995,2h 7m,18,8.6
21. 멋진 인생,1946,2h 10m,12,8.6
22. 7인의 사무라이,1954,3h 27m,15,8.6
23. 양들의 침묵,1991,1h 58m,15,8.6
24. 라이언 일병 구하기,1998,2h 49m,15,8.6
25. 시티 오브 갓,2002,2h 10m,18,8.6
